标题,评分,品牌,产地,茶类,详情链接,id,荐指数,总评,茶语排行,茶语分类排行,综合评分排行,热搜排行
[七信]茉莉龙珠（特级）,8.6,七信,广西,花茶>其他,https://chaping.chayu.com/tea/1203,1203,3,一款原料和工艺俱佳的茉莉花茶。外形圆若珍珠，茉莉花香高扬而不失鲜活，滋味浓郁、味厚足，虽有苦但化得快，饮后回甘、口内，十分舒适。不足就是叶片边缘破损较多略带红边，冲泡时有较多碎末沉汤底。,953,46,2591,2937
[亲稀源]一级恩施玉露（2018）,8.6,亲稀源,湖北,绿茶>其他,https://chaping.chayu.com/tea/4531,4531,3,"这是一款鲜甜蒸青绿茶。
茶汤稍有厚度，鲜感明显，入口清甜，随着冲泡增强，苦味渐显，化开变慢，茶汤中清香明显，持续至尾水，汤中有类似煮玉米的味道，饮完后，回味清香带甜。",953,221,4386,145
[中闽一号]特级浓香铁观音,8.6,中闽一号,福建,乌龙>其他,https://chaping.chayu.com/tea/1204,1204,3,这款观音虽然名字为浓香，但实际更偏清香型。花香为主，带有清香，香气较明显但持久度一般。头泡略带,953,142,3746,2818
[澜沧古茶]普洱芳砖（2016）,8.6,澜沧古茶,云南,普洱>熟茶,https://chaping.chayu.com/tea/2740,2740,3,这款茶黑褐尚亮欠油润，干闻略有枣香，汤色枣红明亮，香气枣香浓郁，滋味醇厚甘爽，叶底褐红尚油润，叶质尚柔软稍硬。,953,263,1681,2029
[徽将军]特一级霍山黄芽（2017）,8.6,徽将军,安徽,黄茶>霍山黄芽,https://chaping.chayu.com/tea/3508,3508,3,这款黄茶板栗香较明显，滋味甜润。没有明显缺点和突出特点，整体品质较均衡。汤感较圆润，水含纯净且较持久的板栗香，尾水带有淡淡花香。口中的回味带甜花香，回味时间持久，耐泡度尚佳。 ,953,48,764,2222
[宋茗白茶]宋茗白茶乡逸系列,8.6,宋茗白茶,浙江,绿茶>安吉白茶,https://chaping.chayu.com/tea/437,437,3,干茶：条形，细秀纤长，边缘内卷细紧，嫩黄绿透翠，,953,221,432,1990
[云峰号]易武古树（2016）,8.6,云峰号,云南,普洱>熟茶,https://chaping.chayu.com/tea/3253,3253,3,"一款干净，风格柔和平顺的熟茶。
香气偏单一，不高的甜香，果香能够持久留于口中；
茶汤顺滑甜润，基本保持在一个稳定舒缓的状态。",953,263,432,154
[张一元]茉莉金茗眉,8.6,张一元,福建,花茶>茉莉花茶,https://chaping.chayu.com/tea/950,950,3,"全芽茶制作的一款高端茉莉花茶。
花香鲜活灵动，饱满丰富，留香持久。茶汤较鲜醇，口感清甜，微",953,46,119,727
[御胤]野生白茶（2017）,8.6,御胤,福建,白茶>其它,https://chaping.chayu.com/tea/3766,3766,3,"这是一款清幽的白茶。
干茶外形挺秀饱满，披覆毫毛，芽头显现。清幽的清香，伴以甜香、花香、荷叶香，令人神清气爽，犹如河畔的午后。茶汤入口清甜细滑，滋味始终甘甜柔和，带着持续的生津和回甘，滋味鲜爽和饱满度不足，再加上不易化开的涩感，这就是青春的岁月啊。鲜活的外表，柔和的内心，青涩的举止，令人不忍，也令人惋惜。
",953,64,2938,1357
[蓝乔]雪山红韵（2017）,8.6,蓝乔,云南,普洱>熟茶,https://chaping.chayu.com/tea/4278,4278,3,"陈木头香干净，茶汤有稠感的茶。
干净陈木头的香气融于茶汤；喝完嘴里留香持久；
茶汤有稠度，入口甜润感明显；喝完舌面有涩感，化开较慢；嘴里的生津不高，但是持续；

",953,263,1177,1139
[岁月知味]百年乔木(2013),8.6,岁月知味,云南,普洱>生茶,https://chaping.chayu.com/tea/951,951,3,"干茶：色泽褐绿，石磨手工压制，松紧度适中，压制尚紧实。
汤色：橙黄泛红，较亮。
香气：香气富于变化，甜香中带果香，青梅香。
滋味：滋味浓强，苦感较明显，舌尖有较明显的刺激感，但能较快消失，喝完后口腔内有舒适的清凉感。
：深绿较亮，部门叶片带红点，叶质较柔软，较。
",953,263,2180,3336
[三万昌]茉莉针螺（特级浓香）,8.6,三万昌,福建,花茶>其他,https://chaping.chayu.com/tea/1207,1207,3,一款茉莉花香浓烈、滋味浓厚的茉莉花茶。耐泡度好，六泡出水味。而且选料较好，外形优美，卷曲状银球，,953,46,2180,1964
[一品天香]湄潭翠芽,8.6,一品天香,贵州,绿茶>其他,https://chaping.chayu.com/tea/696,696,3,干茶：全芽，碧绿泛翠，非常绿，色泽鲜活，光,953,221,1177,2542
[济公]济公佛茶 (世缘铝罐),8.6,济公,浙江,绿茶>其他,https://chaping.chayu.com/tea/1720,1720,3,这是一款选用早春嫩叶，手工精制，具有一定微产区风格，但已稍显陈味的个性,953,221,764,3112
[中茶]Y671普洱熟茶（2016）,8.6,中茶,云南,普洱>熟茶,https://chaping.chayu.com/tea/2744,2744,3,"这是一款整体品质较优秀的熟普散茶。
初见干茶，普普通通的第一印象，原料中等，不见芽头。但是随着茶汤的冲泡，心中充满欢喜。汤色艳丽度愈来愈好，香气纯净，且带有温和的甜香和淡淡木香。入口的茶汤更是稠滑甜润，具有很好的享受度。但是还是有小缺陷，比如喉咙在前期还是有短暂的发干，第一泡的茶汤有点浑等。",953,263,1177,671
[井岗思源]狗牯脑红茶（2016）,8.6,井岗思源,江西,红茶>其他,https://chaping.chayu.com/tea/2745,2745,3,"一款表现中规中矩，滋味鲜甜平和的红茶。
其口感表现不错，甜香明显，较持久。滋味鲜爽，带甜味，回甘明显。总体协调性好，耐泡度比较高。
该茶性价比不错，可选做日常口粮茶。
",953,136,1681,633
[白韵]白毫银针壹号,8.6,白韵,福建,白茶>其他,https://chaping.chayu.com/tea/1466,1466,3,是一款原料好，加工存在一定问题，有,953,64,231,3820
[六百里]太平猴魁 特级（2016）,8.6,六百里,安徽,绿茶>太平猴魁,https://chaping.chayu.com/tea/2490,2490,3,"一款选料和工艺较好的太平猴魁。
略显青气，兰花香显，清鲜持久。茶汤含香，有厚感，较鲜爽，但略涩，化得较快，回甘持久。四泡出水味。",953,221,1177,383
[贵茶]特级绿宝石（2017）,8.6,贵茶,贵州,绿茶>其他,https://chaping.chayu.com/tea/3514,3514,3,"一款栗香清爽，滋味鲜浓的绿茶。
茶叶香气清爽鲜活，有明显的板栗香，略有花香，融于茶汤，口有内略有留香；茶汤顺滑，滋味鲜浓，较爽口，厚度一般，有一定甜润度，入口有明显涩感，化开稍慢，略有苦味，饮后口内略有回甜，有生津，回甘一般。",953,221,1681,945
[龙园号]柑普茶（2016）,8.6,龙园号,广东,普洱>熟茶,https://chaping.chayu.com/tea/3003,3003,3,"一款柑皮香鲜活高扬，茶与果滋味较为协调的柑普。
该茶香气整体高扬而持久，前段以鲜活的柑皮香为主，后期出现熟茶糯甜。该茶柑果与熟茶较为融合协调，汤质浓厚，但整体风格清润爽滑，汤内柑皮香明显，有熟茶的糯甜，果酸，入口就伴随清凉，喝完清凉明显、生津强烈，喉咙和口腔留果香。不足的是，入口带有柑皮的苦，化得快，好在不太影响协调度。盖香会有熟茶的焦气。
",953,263,432,2139
[隽永天香]一级坦洋工夫（2017）,8.6,隽永天香,福建,红茶>其他,https://chaping.chayu.com/tea/4027,4027,3,"难得喝到的一款好红茶。
对于现在红茶来说，大多都是薯香，不好评判薯香好或不好，但是这款茶是难得的茶汤浓厚，有薯香偏甜还带有花香的红茶。
",953,136,231,1634
[彭宇茶行]乌米尖霍山黄芽（2017）,8.6,彭宇茶行,安徽,黄茶>霍山黄芽,https://chaping.chayu.com/tea/3772,3772,3,此款黄茶芽头肥嫩，可见原料质量好，黄茶风格明显。香气清鲜，豌豆香明显持久，滋味甜润鲜爽，喝一口感觉到了春天的气息。相比绿茶，虽然少了一些鲜爽，但是滋味更加润滑，苦涩度降低，回甘愉悦。价位适中，可以作为茶叶爱好者的入门茶。,953,48,1681,1221
[伯韵]信阳毛尖（2016）,8.6,伯韵,河南,绿茶>其他,https://chaping.chayu.com/tea/2237,2237,3,"一款外形普通，但滋味惊艳的毛尖。
整体炒豆香鲜浓，隐隐有嫩香，香溶于茶汤，留于口腔，汤感柔和，滋味有鲜爽感，回甘清甜，满口生津。不足在于叶底较碎，完整性较差。
",953,221,432,782
[六道茶业]齐山村黄石冲手工雨后二等绿茶,8.6,六道茶业,安徽,绿茶>其他,https://chaping.chayu.com/tea/1470,1470,3,"一款外形漂亮，原料等级高，但滋味有问题的瓜片。
香气花香浓郁持久，
滋味浓厚，有明显苦",953,221,2591,4013
[斗记茶业]烟雨遥（2015）,8.6,斗记茶业,云南,普洱>熟茶,https://chaping.chayu.com/tea/3262,3262,3,"这是一款以内质取胜的熟普。
以叶片为主的干茶粗大，虽不讨喜，但整体匀净；香气浓郁，纯净的木香、甜香完全融入汤水中，香气中有烟味，烟不突兀，整体香气仍较协调；滋味甜稠顺滑，水路细腻，茶汤轻快，口中回甘生津明显，清凉感持久，茶叶耐泡度好。
",953,263,1177,3082
[久壬]柚花香（2017）,8.6,久壬,广东,乌龙>其他,https://chaping.chayu.com/tea/4542,4542,3,"一款中规中矩的单枞，可以作为口粮茶品饮。
开汤后有香甜的柚花香，香气入汤，消失较快；
茶汤滋味浓度稍弱，有一定鲜度，生津明显，后期有明显涩感。",953,142,4386,557
[张元记]高级牡丹饼8080,8.6,张元记,福建,白茶>白牡丹,https://chaping.chayu.com/tea/959,959,3,饼形饱满，芽叶完整，白毫显露。汤色淡黄，明亮。香气正常，欠高。滋味较浓，爽口，鲜爽回甘欠佳。芽叶完整，色泽黄亮，软。属于中档茶，具有传统特色，存放适宜，时间较短，内质转化不大回甘欠佳，鲜爽味一般，耐泡程度欠佳。,953,64,1177,965
[茶小隐]木栅铁观音,8.6,茶小隐,台湾,乌龙>其他,https://chaping.chayu.com/tea/1215,1215,3,一款品质较好，但略有返青的浓香,953,142,2180,2678
[琪明]特级铁罗汉（2016）,8.6,琪明,福建,乌龙>其他,https://chaping.chayu.com/tea/2751,2751,3,"一款风格特征一般，整体滋味较协调的武夷名丛。
火功香整体较为舒服，花果香在汤中不是很明显，但是留香很丰富，茶汤的力度和顺滑度高，回甘生津快且持久，整体的汤感协调度高，耐泡度也不错。
",953,142,231,4259
[老茗庄]雀舌（2017）,8.6,老茗庄,福建,乌龙>岩茶小品种,https://chaping.chayu.com/tea/4031,4031,3,"一款选料普通，工艺正常的雀舌。
茶叶香气不扬，甜香、带有细幽的花香，尾水带有植物气息，较持久。茶汤浓度一般，较厚，滋味甜润，较鲜，口内有细微的苦味，稍有涩感，能快速化开，饮后有生津，回甘一般。
",953,142,764,1795
[五虎]金骏眉二号（CJ-02）,8.6,五虎,福建,红茶>其他,https://chaping.chayu.com/tea/1216,1216,3,这款茶性价比较高，整体茶汤滋味较浓，入口顺滑、味甜，微有苦,953,136,4015,2954
[岩上]水仙（2014）,8.6,岩上,福建,乌龙>其他,https://chaping.chayu.com/tea/1986,1986,3,"这是一款原料，工艺得体的中等商品岩茶。
该款产品条索中壮尚紧结，香气以近似蜜糖香气与花香为主，较为浓郁持久，滋味较为饱满，入口甜醇、尚厚，明显，有微弱回甘。整体来说，这款中岩茶工艺得体，选料。",953,142,1681,904
[琪明]一级肉桂（2016）,8.6,琪明,福建,乌龙>其他,https://chaping.chayu.com/tea/2754,2754,3,一款中火工，内质尚可的岩茶。肉桂的品种香勉强有所呈现，主要体现为花果香，桂皮香略有呈现。香味上的缺点主要有二，一是略显单薄，不够充盈、霸气，缺乏后劲和厚度；而是火气过旺，略有一丝杂味。滋味上以甜润为主，醇厚度一般，乏韵味、缺变化。回甘生津快，但是持久度不够。,953,142,231,4126
[涌溪火青]涌溪火青有机绿茶（2017）,8.6,涌溪火青,安徽,绿茶>其他,https://chaping.chayu.com/tea/3522,3522,3,"这是一款香气较怡人，整体品质不错的绿茶。
条索成团，呈颗粒状，较圆紧，色泽墨绿色较润，带有少量白毫，有少量断碎叶。茶汤黄绿较明亮，有大量毫毛，汤底有较多碎末。香气以栗香和清香为主，较舒适，但是香气不够持久。滋味较鲜爽，茶汤有一定甜度，融合着淡淡板栗香，生津较快。
",953,221,1177,4045
[中茶]桂花乌龙（2018）,8.6,中茶,福建,袋泡>其他,https://chaping.chayu.com/tea/4546,4546,3,"这款茶桂花香浓郁，掩盖了茶叶的粗涩味，但也盖住了茶的味道，花味太浓，茶味体现不出。
这款茶采用立体透明尼龙网布袋，显得很精致，能看到茶叶和桂花花瓣在袋内舒展，拼配的乌龙较粗老。开汤后内质汤色橙黄明亮，香气以甜腻桂花香为主，持久度较好，滋味较淡，桂花花香入水，叶底较为碎小，叶质较硬。",953,17,4386,88
[宸奉贡牌]野绿庐山云雾（2016）,8.6,宸奉贡牌,江西,绿茶>其他,https://chaping.chayu.com/tea/2244,2244,3,"一款选料均匀，工艺上乘的绿茶。
整体香气和滋味都很喜人，香气栗香鲜浓，还带有悦人的花香，滋味也有一定的鲜爽度和回甘度，但是口感整体较淡。
总体协调性好，耐冲泡度一般。
",953,221,1681,1069
[微岚]九华佛茶（2016）,8.6,微岚,安徽,绿茶>其他,https://chaping.chayu.com/tea/2500,2500,3,"这款九华佛茶选料细嫩,带鱼叶，内质较突显。
嫩香浓郁，总体滋味鲜醇甘甜，汤感协调性好，有回甘生津，回味持久。",953,221,1177,3888
[老仙]狗牯脑（2017）,8.6,老仙,江西,绿茶>其它,https://chaping.chayu.com/tea/3780,3780,3,"这款是一款回甘好，香气略有缺陷的茶叶。
茶汤浓厚、较甜润、稍有鲜感，后期略有苦涩感，但口腔回甘好，一直留甜，舌面略有生津；有明显栗香，能入汤，前期入口有烟味，后期烟味消失。
",953,221,1177,1424
[华祥苑]金凤凰 浓香 铁观音,8.6,华祥苑,福建,乌龙>安溪铁观音,https://chaping.chayu.com/tea/1989,1989,3,"一款综合品质较好的浓香型。
较高的火工带来香气丰富的变化，兰花香、熟果香、乳香相继出现，在杯盖表现明显，但水含香一般。滋味也较为丰富，有层次感，有感，能化开，回味稍显平淡，音韵显。",953,142,764,2037
[湖心岛]君山银针(2016),8.6,湖心岛,四川,黄茶>其他,https://chaping.chayu.com/tea/2757,2757,3,"一款香气愉悦，滋味讨喜的黄茶。
香气以炒米香为主，带豆香和令人愉悦的甜花香。但汤水中带有青气，汤感柔和鲜爽，清甜顺滑，微涩能很快化开，爽口性好，生津满口，回甘持久绵长。茶叶协调性较好。
",953,48,231,2136
[斗记茶业] 云白甜（2016）,8.6,斗记茶业,云南,白茶>其他,https://chaping.chayu.com/tea/3269,3269,3,"风格清新讨喜、香气诱人的白茶；
花香颇高，很容易就被捕捉；还伴随着清浅的蜜香气息，存于茶汤且能持久留于口中；
茶汤显示出比较稠感和一定的细腻度，清甜甘鲜，饮后留香满口，后期涩感略略影响协调。
",953,64,432,2244
[村芳]茶王（2016）,8.6,村芳,福建,白茶>其他,https://chaping.chayu.com/tea/3781,3781,3,"表现稍稍有缺陷的茶。
茶汤闻起来稍稍带有青草气，之后为比较明显的豆浆香气，融于茶汤；
茶汤入口滋味较浓，有甜润感，鲜爽度，有少量涩感，能化开，有比较持续的回甘生津。",953,64,4015,4327
[涌溪火青]涌溪火青（2015）,8.6,涌溪火青,安徽,绿茶>其他,https://chaping.chayu.com/tea/1990,1990,3,这是一款品质比较好的大宗型绿茶。干茶颗粒圆紧，色泽墨绿均匀，整体滋味爽滑，香气栗香明显，回甘好，非常适合大众品饮。,953,221,432,3454
[婺牌]文公野山红（2017）,8.6,婺牌,江西,红茶>其他,https://chaping.chayu.com/tea/4038,4038,3,条形紧锁，条形紧结秀丽，色泽乌润，黑黄相间。茶汤色鲜艳，红而透明，色泽诱人。茶底色泽诱人，条条细嫩无杂质，茶汁丰富。,953,136,764,1225
[哈尼缘 ]勐之韵（2015）,8.6,哈尼缘 ,云南,普洱>其他,https://chaping.chayu.com/tea/3015,3015,3,"一款品质较优，性价比较高的熟普。虽然为2015年的新茶，但茶叶整体表现良好。香气纯净，糯香伴着甜香，香气较浓郁，较为稳定持久。茶汤滋味浓、较稠滑，汤感细腻，甜度高。回甘持久、停留口腔。整体协调度较高，但耐泡度一般，八泡出水味。
",953,263,4276,4319
[武夷星]八仙,8.6,武夷星,福建,乌龙>其他,https://chaping.chayu.com/tea/3272,3272,3,"清扬的香气在较为稠厚的茶汤中绽放。
品种的特征体现的较为明显，火功轻，微微带苦带甜的花香清扬高长，较为稠厚的的茶汤并没有很强的刺激性，整体较为轻柔，层次感带来的茶汤转变也舒服协调，总体来看，工艺和品种特征结合的较好。
",953,142,764,3055
[黔茗茶业]雀舌特级（2016）,8.6,黔茗茶业,贵州,绿茶>其他,https://chaping.chayu.com/tea/2249,2249,3,一款有玫瑰花香的绿茶。干茶翠绿油润，叶底芽头饱满挺秀，外观十分秀美。冲泡后具有浓烈的玫瑰花香，滋味甜香爽口，有青涩感，不容易褪。,953,221,1177,857
[武夷星]蕴藏十五载大红袍,8.6,武夷星,福建,乌龙>武夷山大红袍,https://chaping.chayu.com/tea/3274,3274,3,"一款存放干净，香气丰富的陈年大红袍。
其香丰富怡人，随着冲泡的次数增加，有明显的层次更迭。刚开始是植物带来的辛香，轻微的火工香和陈香，随之而来的是较为浓郁的乳香和果甜香，最后其本身的粽叶香、甜香让人意犹未尽。其汤绵柔，软弱无骨，入口顺滑，饮后口腔有甜润之感，夹有微弱的果酸味，涩感不重，但是冲泡之中，涩感会堆积在舌头表面难以消退。吞吐之间，口内含香，品饮之后口内有清凉感。
",953,142,432,2987
[前海天露]一味藏茶（2015）,8.6,前海天露,四川,黑茶>其他,https://chaping.chayu.com/tea/3019,3019,3,"此款藏茶品质不错，外形和内质都有较好的表现。
该茶香气热温时陈香明显，温嗅为甜香，但持久度一般。茶汤前几泡滋味较为厚、浓稠，后趋于柔和，汤内陈香显著，滋味甘甜顺滑，回甘生津迅速，整体协调度高。回味停留口腔。",953,24,1177,3238
[东卓茶业]珠玑（2016）,8.6,东卓茶业,云南,普洱>生茶,https://chaping.chayu.com/tea/3275,3275,3,"风格清爽的新年份生普。
香气以谷物、花蜜香为主，比较饱满；饮后留香满口；回味有果香，花香的变化。
茶汤爽口，重鲜苦，苦化开较慢，有微弱涩感，回甘生津较快。口腔后段的留香、清凉感皆明显。",953,263,764,1178
[吴觉农]十年纪念茶（2013）,8.6,吴觉农,云南,普洱>生茶,https://chaping.chayu.com/tea/972,972,3,"    紧实，汤色黄绿透亮，蜜香，持久性好，醇厚，回甘好，有苦底，颜色暗黄，茶叶条索大、节间长，均匀
    这款大树青饼茶，冲泡后茶汤汤色透亮，有稠稠的感觉，香气很高，为甜甜的蜜香，且明显持久。茶汤入口时略苦，但是咽下后，嘴有回甘、回甜，耐泡。这一系列特点充分体现原料的特殊性。",953,263,1681,3577
[婺牌]婺源剑锋特级（2016）,8.6,婺牌,江西,绿茶>其他,https://chaping.chayu.com/tea/2260,2260,3,"这是一款选料嫩度好，外形漂亮的名优绿茶。
整体香气似熟豆香，持久性尚好，滋味醇爽，汤感顺滑，入口带苦，能很快化开，回甘度较低。
总体协调性好，耐冲泡度低。
",953,221,764,818
[广西凌云茶]白毫银针（2016）,8.6,广西凌云茶,广西,白茶>白毫银针,https://chaping.chayu.com/tea/2516,2516,3,"这是一款香气奇特，风格与众不同的白茶。
香气独特，令人记忆深刻，带浓郁的炒瓜子香，汤感顺滑，入口有苦味，能很快化开，回甘快。
总体比较协调，耐冲泡度不错。",953,64,1177,2923
[武夷星]黄观音,8.6,武夷星,福建,乌龙>其他,https://chaping.chayu.com/tea/3284,3284,3,"香气迷人的小品种岩茶。
花果香较为清扬，带蜜香变化，香气有层次变化，口中留香持久。
茶汤滋味稍显平和，回味令人愉悦。
",953,142,1681,2051
[泾渭茯茶]手筑茯砖,8.6,泾渭茯茶,陕西,黑茶>其他,https://chaping.chayu.com/tea/1749,1749,3,这款2015年的手筑茯砖，品质尚好。原料虽较粗老，但内质颇好，干茶金花茂盛，药香浓郁，整体滋味好，入口醇和绵柔，汤感顺滑，回甘持久。,953,24,2180,882
[才者]老曼娥古树砖茶（2016）,8.6,才者,云南,普洱>生茶,https://chaping.chayu.com/tea/3029,3029,3,是一款稍青，香气有新鲜甘蔗的清甜的生普，滋味甜纯带青，但不具有老曼娥古树苦涩浓重的汤感和迅猛回甘的霸气。,953,263,764,2296
[邑禾]百年老枞（2017）,8.6,邑禾,福建,红茶>其他,https://chaping.chayu.com/tea/4309,4309,3,"这是一款滋味甜和老枞红茶。
茶汤甜柔细腻，有一定的饱满度，水中枞味幽长，并伴有淡淡的花果香，汤中微有一丝苦味，化得较快，饮后喉部有清凉感，十分清润。生津较慢但持久，耐泡度一般。

",953,136,764,1681
[屹宏侗茶]屹宏雀舌（2017）,8.6,屹宏侗茶,广西,绿茶>其他,https://chaping.chayu.com/tea/3287,3287,3,"这是一款外形比较漂亮、内质一般的茶。
干茶带有一点点豆花香，茶汤香气开始带点烟味，第二泡起豆香显露；茶汤清甜微有闷味，滋味不强，整体的体验感一般。
茶水协调性较好，耐泡度一般。
",953,221,1177,2651
[郎河]易武春尖（2017）,8.6,郎河,云南,普洱>生茶,https://chaping.chayu.com/tea/4055,4055,3,"一款滋味甜醇饱满，香气清甜花香的生普。
总体比较浓厚饱满，滋味甜醇。这款茶耐泡持久，滋味鲜爽甜醇，苦涩协调，回甘生津都很快且持久，甜很明显。汤中香气明显，口腔中的香气也持久，但是杯底香弱。

",953,263,432,401
[时光集]晨露甘泉（2017）,8.6,时光集,国外,红茶>其他,https://chaping.chayu.com/tea/4311,4311,3,"大吉岭初摘无疑。
茶香甜，有馥郁的花香，留香有持久度，滋味甘甜饱满，生津迅猛，口齿留香。
",953,136,432,769
[大益]大益7262熟茶（2009）,8.6,大益,云南,普洱>熟茶,https://chaping.chayu.com/tea/2008,2008,3,"一款转化较好的熟茶。
经过6年的陈化，此款熟茶香气令人愉悦，木香和甜香明显。口感纯正，茶汤顺滑，甘甜明显。综合茶叶的价格和品质，该茶的性价较高，是一款很适宜饮用的年份熟茶。",953,263,1177,477
[茶里]原味乌龙（2016）,8.6,茶里,福建,袋泡>其他,https://chaping.chayu.com/tea/2766,2766,3,"袋泡茶，多会讲究是简洁方便。今天这款乌龙袋泡，就比较符合要求。并且其口感滋味清爽鲜甜，适口度也不错。
这款茶，淡淡的花香中带着较为鲜爽的清香，整体较为持久。汤质比较温和，入口清润较鲜、带点花香，汤的甜度高，喝完回甘较显，生津舒适。稍有不足的是，略有苦涩，回味略平淡。
",953,17,1681,3825
[中吉号]银毫沱茶（2016）,8.6,中吉号,云南,普洱>生茶,https://chaping.chayu.com/tea/3278,3278,3,"这是一款甜爽型清新生普。
干茶等级较高，芽头肥壮、白毫满披，香气以微发酵的甜果香和清扬花香为主，杯底、口腔、喉咙均有留香。滋味甜润清爽，甜度高，回甘较好，舌底生津。涩感虽不强，但堆积在舌面，化开速度稍慢，有喉韵。",953,263,1177,454
[侗乡福]特级黎平毛尖（2017）,8.6,侗乡福,贵州,绿茶>其它,https://chaping.chayu.com/tea/3790,3790,3,"一款栗香清晰，茶汤饱满的绿茶。
茶叶整体外形美观，茶汤入口甜，厚度好，较饱满，欠缺点鲜感，口感后期涩味比较明显，且持久，香气整体是花香和板栗香，后带有嫩香，留香较持久，整体表现较好。
",953,221,2180,1350
[青衫 ]悠悠（2017）,8.6,青衫 ,云南,普洱>生茶,https://chaping.chayu.com/tea/4047,4047,3,"这是款香气突出的生茶。
茶汤和香气的融合度好，饱满的花香比较持久，入口就满口生香，饮完余香也较好。而滋味表现略孙一筹，整体比较协调、有一定的饱满度，茶汤较鲜爽，入口甜爽，苦涩能较快化开，回甘生津比较好。",953,263,432,1698
[沁园春]湄潭翠芽,8.6,沁园春,贵州,绿茶>其他,https://chaping.chayu.com/tea/721,721,3,干茶：干茶独芽，扁平光滑,953,221,432,2577
[如初]如饮·寿眉（2014）,8.6,如初,福建,白茶>寿眉贡眉,https://chaping.chayu.com/tea/3281,3281,3,"这是一款内质让人惊喜的白茶。
普通的干茶毫不起眼，冲泡后却给人带来惊喜。首先是浓郁纯净的花香，花香中还带有发酵的果甜香，口腔以及杯底的果蜜香更是香气的加分项；其次就是甜稠的茶汤，爽口、甜润，甜得美好；再加上明显的回甘，舒服的喉韵。一切都是美好饮茶体验。
",953,64,2180,334
[周顺来]玉芽飘香（2017）,8.6,周顺来,福建,花茶>其他,https://chaping.chayu.com/tea/4305,4305,3,"一款用料细嫩、外形秀美、香气清新的花茶。
花香较清淡，茉莉花香很清新，带甜香，稍稍透兰花香，香气并不很持久；茶汤滋味甜柔、清润，甜度很好，苦涩感轻，回甘快但不持久。
",953,46,1177,1628
[望海茶]一级望海茶,8.6,望海茶,浙江,绿茶>其他,https://chaping.chayu.com/tea/722,722,3,干茶：干茶色泽翠绿，条索,953,221,764,3459
[馥益堂]山水间白毫银针（2016）,8.6,馥益堂,福建,白茶>白毫银针,https://chaping.chayu.com/tea/2514,2514,3,"这是一款芽头肥壮，香气浓郁的白毫银针茶。
香气蒸黄豆香略带毫香，甜度尚可，汤水顺滑，回甘略慢。
总体协调性较好，耐冲泡度一般。",953,64,1681,2234
[宛芯]遵义红,8.6,宛芯,贵州,红茶>其他,https://chaping.chayu.com/tea/1491,1491,3,"一款用料较好，品质较优的红茶。
综合表现较优，汤色红浓，明亮度高。甜香中透着花香，香气悠长，较持久。茶汤入口较浓厚、口感丰盈饱满，汤内含香，总体协调性好。五泡出水味。",953,136,1681,2945
[三未]祁门香螺（2016）,8.6,三未,安徽,红茶>其他,https://chaping.chayu.com/tea/2783,2783,3,"一款工艺正宗，爽口性让人深刻的祁门红茶。
香气花香浓郁，持久度较好，入口微甜，有青涩味，能化开，生津回甘较好，爽口性不错。
总体协调性较好，耐冲泡度不错。",953,136,764,208
[一或]1588特级红茶（2016）,8.6,一或,云南,红茶>其他,https://chaping.chayu.com/tea/2528,2528,3,"这是一款外形优美，工艺得当的云南红茶。
整体香气甜香浓郁，发酵适中，滋味顺滑度好，汤感较厚，回甘生津较好，爽口性不错。
总体协调性好，耐冲泡度正常。",953,136,764,2975
[白沙溪]天茯茶（2016）,8.6,白沙溪,湖南,黑茶>其他,https://chaping.chayu.com/tea/3040,3040,3,这款茯砖茶闻起来有霉气，但开汤后随即消失。总体来说这是一款相对不错的茯砖茶。干茶黑褐，菌花较茂盛，松紧适宜；香气干嗅有霉气，热嗅则消失，菌花香较明显，茶香纯正；汤色红黄、较明亮；滋味尚醇厚；叶底黄褐，尚嫩，有梗。,953,24,231,2245
[福龙岩]百瑞香（2017）,8.6,福龙岩,福建,乌龙>岩茶小品种,https://chaping.chayu.com/tea/4064,4064,3,"一款香气甜润，花香明显，馥郁，焙火香浓郁的武夷岩茶。
茶叶带有明显的焙火香气，花香清爽，杯盖留香，较为持久。茶汤顺口，随着冲泡口感渐显黏稠，有轻微涩感，化开后甜润，有回甘，口齿留香。
整体平和，耐泡。",953,142,764,1735
[白沙溪]御品茯茶（2016）,8.6,白沙溪,湖南,黑茶>其他,https://chaping.chayu.com/tea/3041,3041,3,此款黑茶选料较为细嫩，加工工艺正常，紧结度尚佳，干茶黑褐尚润，金花普遍，净度较好。菌花清香悦人持久，有明显松烟香，配合淡淡的陈香，综合呈现良好的香气。滋味纯和，浓度一般，微苦微涩，刺激度一般。性价比尚佳，比较淡的口感适合刚刚接触茶叶的人品饮。 ,953,24,432,2689
[森舟]铁观音,8.6,森舟,福建,乌龙>其它,https://chaping.chayu.com/tea/1762,1762,3,一款香气、滋味都清甜宜人的陈茶。外形颗粒，色泽黄褐匀，难得的是香气清甜悠长，有陈香和淡淡脂粉香，很是诱人，且滋味甜和、轻柔，口内回甘明显。,953,142,1177,3537
